日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2017-12-22,'603618,杭电股份,8.36,8.43,8.31,8.32,8.34,0.02,0.2398,0.3393,1052243,8813779.0,5742307670.88,2592259670.88
2017-12-21,'603618,杭电股份,8.34,8.44,8.18,8.44,8.46,-0.12,-1.4184,0.6117,1896774,15786172.0,5728570092.72,2586058092.72
2017-12-20,'603618,杭电股份,8.46,8.59,8.45,8.55,8.58,-0.12,-1.3986,0.4641,1439100,12231169.0,5810995561.68,2623267561.68
2017-12-19,'603618,杭电股份,8.58,8.62,8.56,8.57,8.57,0.01,0.1167,0.4197,1301458,11171527.0,5893421030.64,2660477030.64
2017-12-18,'603618,杭电股份,8.57,8.63,8.51,8.51,8.55,0.02,0.2339,0.3498,1084505,9297814.0,5886552241.56,2657376241.56
2017-12-15,'603618,杭电股份,8.55,8.67,8.52,8.66,8.65,-0.1,-1.1561,0.6171,1913600,16381525.0,5872814663.4,2651174663.4
2017-12-14,'603618,杭电股份,8.65,8.89,8.62,8.88,8.88,-0.23,-2.5901,0.8129,2520700,22015507.0,5941502554.2,2682182554.2
2017-12-13,'603618,杭电股份,8.88,8.89,8.82,8.82,8.85,0.03,0.339,0.315,976609,8636321.0,6099484703.04,2753500703.04
2017-12-12,'603618,杭电股份,8.85,8.88,8.81,8.85,8.88,-0.03,-0.3378,0.3965,1229500,10881137.0,6078878335.8,2744198335.8
2017-12-11,'603618,杭电股份,8.88,8.91,8.81,8.86,8.88,0.0,0.0,0.4187,1298287,11501093.0,6099484703.04,2753500703.04
2017-12-08,'603618,杭电股份,8.88,8.91,8.8,8.84,8.77,0.11,1.2543,0.6603,2047543,18151118.0,6099484703.04,2753500703.04
2017-12-07,'603618,杭电股份,8.77,8.93,8.73,8.8,8.86,-0.09,-1.0158,0.6922,2146243,18899291.0,6023928023.16,2719392023.16
2017-12-06,'603618,杭电股份,8.86,9.02,8.69,8.96,9.04,-0.18,-1.9912,1.4821,4595684,40580784.0,6085747124.88,2747299124.88
2017-12-05,'603618,杭电股份,9.04,9.45,9.01,9.45,9.38,-0.34,-3.6247,1.6457,5103043,47122698.0,6209385328.32,2803113328.32
2017-12-04,'603618,杭电股份,9.38,9.43,9.22,9.22,9.36,0.02,0.2137,1.3187,4089163,38333210.0,6442924157.04,2908540157.04
2017-12-01,'603618,杭电股份,9.36,9.39,9.28,9.36,9.36,0.0,0.0,0.9714,3012100,28143841.0,6429186578.88,2902338578.88
2017-11-30,'603618,杭电股份,9.36,9.39,9.13,9.2,9.24,0.12,1.2987,1.478,4583006,42655456.0,6429186578.88,2902338578.88
2017-11-29,'603618,杭电股份,9.24,9.25,9.05,9.13,9.18,0.06,0.6536,1.3444,4168624,38206467.0,6346761109.92,2865129109.92
2017-11-28,'603618,杭电股份,9.18,9.25,9.01,9.03,9.02,0.16,1.7738,1.0566,3276439,30008397.0,6305548375.44,2846524375.44
2017-11-27,'603618,杭电股份,9.02,9.53,9.01,9.45,9.35,-0.33,-3.5294,1.734,5376757,49812317.0,6195647750.16,2796911750.16
2017-11-24,'603618,杭电股份,9.35,9.38,9.1,9.18,9.21,0.14,1.5201,1.7643,5470772,50901411.0,6422317789.8,2899237789.8
2017-11-23,'603618,杭电股份,9.21,9.44,9.19,9.31,9.34,-0.13,-1.3919,1.9945,6184538,57512998.0,6326154742.68,2855826742.68
2017-11-22,'603618,杭电股份,9.34,9.45,9.21,9.4,9.4,-0.06,-0.6383,2.2398,6945273,64619163.0,6415449000.72,2896137000.72
2017-11-21,'603618,杭电股份,9.4,9.45,8.95,9.03,9.07,0.33,3.6384,3.3683,10444240,96707541.0,6456661735.2,2914741735.2
2017-11-20,'603618,杭电股份,9.07,9.13,8.69,9.04,9.04,0.03,0.3319,1.5659,4855565,43634415.0,6229991695.56,2812415695.56
2017-11-17,'603618,杭电股份,9.04,9.17,8.76,8.98,8.99,0.05,0.5562,2.1192,6571192,59095227.0,6209385328.32,2803113328.32
2017-11-16,'603618,杭电股份,8.99,9.04,8.82,8.83,8.82,0.17,1.9274,1.5321,4750598,42484784.0,6175041382.92,2787609382.92
